years_experience,level,location,current_title,skills,hours_per_week,salary
2.3463404498842957,Advanced,Tunis,Data Scientist,"Machine Learning,Java,Python,SQL,React",43,4820.134268029401
15.050607154587606,Beginner,Tunis,Ingénieur Logiciel,"React,SQL",49,5525.951649238366
6.583728467727247,Beginner,Bizerte,Chef de Projet,"Kubernetes,Machine Learning,Linux",30,3607.3501598940557
4.564712768879766,Intermediate,Monastir,Chef de Projet,"Machine Learning,Python,React,Kubernetes",39,4211.741867925073
0.8481243523117314,Intermediate,Remote,Analyste Données,"Docker,Python,Kubernetes,React,Linux",46,2777.2404260726025
0.847981459573026,Advanced,Sfax,Analyste Données,"Linux,Java",46,3518.7538819020324
0.29919384304340335,Intermediate,Nabeul,Chef de Projet,"Java,SQL",46,3727.814975294384
10.056154322399697,Intermediate,Remote,Analyste Données,"Java,Linux",33,3452.944842968527
4.595410768136323,Intermediate,Bizerte,Data Scientist,"Python,Linux",46,3639.2564756181214
6.156250308522951,Expert,Tunis,Technicien Réseau,"Linux,SQL,Kubernetes,Python,React",47,5787.814671439868
0.10399653999569311,Intermediate,Nabeul,Technicien Réseau,"Machine Learning,React,SQL,Java,Kubernetes",49,2980.585660696893
17.51778737579156,Intermediate,Tunis,Data Scientist,"Kubernetes,Machine Learning,Java,SQL,Linux",31,7015.283296033686
8.932147716773375,Beginner,Sfax,Technicien Réseau,"Machine Learning,Python",37,3739.788306616406
1.1934381262447349,Advanced,Monastir,Ingénieur Logiciel,"Linux,Docker,Machine Learning,SQL,React",42,3424.1901225461634
1.0033949437483167,Intermediate,Remote,Data Scientist,"Docker,Java,Machine Learning",49,2851.0806931640714
1.0130571141612852,Beginner,Remote,Analyste Données,"Machine Learning,React,Java",44,2109.653068432178
1.8137686473023855,Beginner,Sousse,Data Scientist,"Docker,Java,Machine Learning,Linux",49,3663.3353514488413
3.7196391543042724,Intermediate,Nabeul,Chef de Projet,"SQL,Machine Learning,Kubernetes,Java,React",38,4433.959134738527
2.8276853339016834,Intermediate,Bizerte,Analyste Données,"React,Docker",32,2642.534220103454
1.7211149627697075,Intermediate,Sousse,Chef de Projet,"Java,Docker",32,3337.002950921964
4.731854369498993,Expert,Sfax,Analyste Données,"Kubernetes,Machine Learning,Java",31,4742.479529623066
0.7511726436366933,Beginner,Bizerte,Technicien Réseau,"SQL,Machine Learning,Linux,Java",30,2025.035080596067
1.7275775600120113,Intermediate,Monastir,Data Scientist,"Java,React",43,3001.0106043106675
2.281386091104235,Advanced,Monastir,Ingénieur Logiciel,"Kubernetes,Machine Learning,Java,Docker,SQL",46,3940.6886945678225
3.044673439298875,Intermediate,Monastir,Analyste Données,"Java,Python,Linux,SQL,Kubernetes",42,3619.1835093075747
7.689680055154559,Intermediate,Monastir,Analyste Données,"Docker,Kubernetes",48,3895.197268416769
1.1136793106434515,Intermediate,Sousse,Chef de Projet,"Linux,Machine Learning",44,3535.689701041568
3.6101457751656385,Intermediate,Gabes,Technicien Réseau,"Python,Linux,Docker",43,2770.506632600523
4.487523606548803,Expert,Bizerte,Chef de Projet,"Python,SQL,React,Linux,Machine Learning",31,4964.052657499911
0.23781924878204272,Intermediate,Nabeul,Chef de Projet,"SQL,Docker,Java,React",36,3779.180922047553
4.676665103248051,Advanced,Sfax,Technicien Réseau,"Docker,Machine Learning,SQL,React",46,4341.0543655002575
0.9348062598870821,Beginner,Kef,Ingénieur Logiciel,"React,Docker",47,1895.2506823287754
0.33631965439652123,Beginner,Tunis,Chef de Projet,"Kubernetes,React,Docker,Machine Learning,Python",35,3561.4801341136877
14.868438967534654,Beginner,Nabeul,Chef de Projet,"Docker,React,Kubernetes,Python",37,5955.210124408033
16.853151712305863,Intermediate,Tunis,Analyste Données,"Linux,SQL,React",31,6370.560685991947
8.261657864064384,Intermediate,Bizerte,Technicien Réseau,"Docker,Python,Kubernetes,Linux,Machine Learning",30,3748.977125621062
1.8164392998437915,Advanced,Nabeul,Data Scientist,"Machine Learning,React,Python",45,4266.26196276343
0.5138865750125312,Intermediate,Monastir,Ingénieur Logiciel,"Docker,Python,SQL,Linux,React",36,2911.7951568444014
5.763753815493309,Expert,Monastir,Ingénieur Logiciel,"Kubernetes,Linux,SQL,Java",40,5112.594989167199
2.9004542129269915,Beginner,Kef,Technicien Réseau,"SQL,Python,Machine Learning,Linux",44,2682.9332226976558
0.6507611697722432,Advanced,Tunis,Analyste Données,"Docker,SQL",42,3420.5336238365153
3.4177361406707507,Advanced,Sfax,Analyste Données,"Machine Learning,Kubernetes",31,3775.413138446644
0.17496860721739543,Advanced,Bizerte,Technicien Réseau,"Machine Learning,Python",43,2671.2472504467523
12.002114436965119,Advanced,Monastir,Analyste Données,"SQL,Python,Linux,Java,React",35,5107.278498207315
1.4972888842034304,Advanced,Gabes,Ingénieur Logiciel,"Python,Java,Machine Learning,Docker,Kubernetes",38,3214.530301028428
5.431278992824902,Intermediate,Sousse,Ingénieur Logiciel,"Python,Docker,React,Linux",36,3886.6554231281066
1.8677329082881182,Beginner,Sousse,Data Scientist,"React,Linux,Machine Learning,SQL",47,3502.381411900051
3.6705544795461433,Beginner,Sfax,Technicien Réseau,"Machine Learning,Java,SQL,React,Docker",38,3281.6011362553
3.9561189899089877,Advanced,Sousse,Chef de Projet,"Machine Learning,Java,React,SQL",33,4755.3541573142165
1.0219429975395287,Intermediate,Tunis,Chef de Projet,"Kubernetes,Java,Linux,SQL",38,3915.661429466254
17.46403566368113,Advanced,Monastir,Data Scientist,"Java,Linux,React,Machine Learning",33,6196.740078304511
7.461226885690704,Intermediate,Monastir,Data Scientist,"Java,Machine Learning,SQL",41,4541.432544611979
14.02547209645791,Beginner,Gabes,Analyste Données,"Linux,Kubernetes",33,3863.0508068622653
